동네,시군구,번지,건물명,위도,경도,전월세구분,전용면적(㎡),층,보증금(만원),월세금(만원),건축년도
수유,서울특별시 강북구 수유동,291-150,풍경,37.636597,127.0043825,월세,29.9000,5,"1,500",85,2016
수유,서울특별시 강북구 수유동,190-24,코지하우스,37.636597,127.0043825,월세,12.2400,5,500,41,2013
사당,서울특별시 동작구 사당동,267-4,267-4,37.48508,126.9704949,월세,29.0400,4,"2,000",75,2020
역삼,서울특별시 강남구 역삼동,743-1,동우빌라(743-1),37.49988,127.03856,전세,129.5100,3,"55,000",0,1994
신촌,서울특별시 서대문구 창천동,99-10,해피빌3차,37.5587663,126.9342407,월세,35.3000,3,500,60,2002
신촌,서울특별시 서대문구 창천동,90-34,스카이빌,37.5587663,126.9342407,월세,26.8800,2,500,90,2003
흑석,서울특별시 동작구 흑석동,186-72,흑석빌리지,37.5064393,126.963687,월세,56.5900,3,"3,000",97,2017
홍대,서울특별시 마포구 서교동,448-32,청기와빌라,37.5550711,126.9238244,전세,66.4200,5,"26,000",0,2002
청량리,서울특별시 동대문구 청량리동,53-15,(53-15),37.5882073,127.0462518,전세,13.3300,4,"12,700",0,2012
역삼,서울특별시 강남구 역삼동,695-4,산마리노,37.49988,127.03856,월세,47.2300,1,"7,000",63,2002
신림,서울특별시 관악구 신림동,571-1,홍연그린빌(571-1),37.486897,126.928177,월세,20.9600,2,"2,000",48,2016
신림,서울특별시 관악구 신림동,610-256,동성맨션5차,37.486897,126.928177,월세,48.1400,-1,"10,000",30,1996
신림,서울특별시 관악구 신림동,10-414,광덕빌,37.486897,126.928177,월세,83.1000,2,500,55,2004
합정,서울특별시 마포구 합정동,434-15,원스빌,37.5477846,126.9095636,월세,12.6000,3,"2,000",46,2011
흑석,서울특별시 동작구 흑석동,204-17,중앙맨션,37.5064393,126.963687,월세,66.5600,4,"10,000",120,1998
흑석,서울특별시 동작구 흑석동,204-17,중앙맨션,37.5064393,126.963687,월세,66.5600,4,"10,000",120,1998
건대입구,서울특별시 광진구 구의동,26-7,현대아트빌라(26-7),37.5444896,127.0874678,월세,46.0400,3,"19,000",30,1995
건대입구,서울특별시 광진구 구의동,242-137,(242-137),37.5444896,127.0874678,월세,29.9400,2,"11,000",42,2013
건대입구,서울특별시 광진구 구의동,619-17,대산하우스,37.5444896,127.0874678,전세,29.5000,2,"23,500",0,2018
